case_id,label,scenario,difficulty,pattern,local_path,script_file
B01,exploit,S1_Direct_Secret_Curl,easy,direct_secret_to_curl,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B01.yml,
B02,exploit,S1_Direct_Secret_Curl,medium,direct_secret_to_curl,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B02.yml,
B03,exploit,S1_Direct_Secret_Curl,hard,concatenated_secret_to_curl,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B03.yml,
B04,benign,S1_Direct_Secret_Curl,medium,whitelisted_destination,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B04.yml,
B05,benign,S1_Direct_Secret_Curl,medium,dummy_named_secret,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B05.yml,
B06,exploit,S2_Secret_Variable_Curl,easy,one_hop_propagation,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B06.yml,
B07,exploit,S2_Secret_Variable_Curl,medium,three_hop_propagation,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B07.yml,
B08,exploit,S2_Secret_Variable_Curl,hard,base64_then_curl,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B08.yml,
B09,benign,S2_Secret_Variable_Curl,hard,masked_before_logging,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B09.yml,
B10,benign,S2_Secret_Variable_Curl,medium,secret_hash_only,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B10.yml,
B11,exploit,S3_Secret_Bash_HTTP,medium,embedded_bash_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B11.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s03_01.sh
B12,exploit,S3_Secret_Bash_HTTP,hard,bash_base64_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B12.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s03_02.sh
B13,exploit,S3_Secret_Bash_HTTP,hard,bash_multi_hop_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B13.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s03_03.sh
B14,benign,S3_Secret_Bash_HTTP,hard,masked_bash_log,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B14.yml,
B15,benign,S3_Secret_Bash_HTTP,hard,dummy_bash_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B15.yml,
B16,exploit,S4_Secret_Python_Requests,medium,python_requests_post,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B16.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s04_01.py
B17,exploit,S4_Secret_Python_Requests,hard,python_json_propagation,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B17.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s04_02.py
B18,exploit,S4_Secret_Python_Requests,hard,python_hash_then_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B18.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s04_03.py
B19,benign,S4_Secret_Python_Requests,hard,python_hash_only,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B19.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s04_04.py
B20,benign,S4_Secret_Python_Requests,medium,python_fixed_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B20.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s04_05.py
B21,exploit,S5_Secret_Node_HTTP,medium,node_fetch_body,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B21.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s05_01.js
B22,exploit,S5_Secret_Node_HTTP,hard,node_concat_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B22.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s05_02.js
B23,exploit,S5_Secret_Node_HTTP,hard,node_multihop_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B23.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s05_03.js
B24,benign,S5_Secret_Node_HTTP,hard,node_dummy_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B24.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s05_04.js
B25,benign,S5_Secret_Node_HTTP,medium,node_fixed_http,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B25.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s05_05.js
B26,exploit,S6_Secret_DNS_Sink,medium,nslookup_secret_subdomain,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B26.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s06_01.sh
B27,exploit,S6_Secret_DNS_Sink,hard,dig_secret_subdomain,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B27.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s06_02.sh
B28,exploit,S6_Secret_DNS_Sink,hard,python_dns_sink,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B28.yml,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/scripts/s06_03.py
B29,benign,S6_Secret_DNS_Sink,hard,fixed_dns_lookup,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B29.yml,
B30,benign,S6_Secret_DNS_Sink,hard,secret_masked_no_dns,/home/lenovo/exfilguard/ExfilGuard_Dataset_B_v2/workflows/B30.yml,
