sample_id,result
A0001,NO_EXFIL
A0002,NO_EXFIL
A0003,NO_EXFIL
A0004,NO_EXFIL
A0005,EXFIL
A0006,EXFIL
A0007,EXFIL
A0008,NO_EXFIL
A0009,EXFIL
A0010,EXFIL
A0011,NO_EXFIL
A0012,NO_EXFIL
A0013,NO_EXFIL
A0014,NO_EXFIL
A0015,NO_EXFIL
A0016,EXFIL
A0017,EXFIL
A0018,EXFIL
A0019,EXFIL
A0020,EXFIL
A0021,EXFIL
A0022,NO_EXFIL
A0023,EXFIL
A0024,EXFIL
A0025,NO_EXFIL
A0026,EXFIL
A0027,NO_EXFIL
A0028,EXFIL
A0029,NO_EXFIL
A0030,EXFIL
A0031,NO_EXFIL
A0032,NO_EXFIL
A0033,NO_EXFIL
A0034,EXFIL
A0035,NO_EXFIL
A0036,EXFIL
A0037,EXFIL
A0038,NO_EXFIL
A0039,EXFIL
A0040,NO_EXFIL
A0041,NO_EXFIL
A0042,EXFIL
A0043,NO_EXFIL
A0044,NO_EXFIL
A0045,NO_EXFIL
A0046,NO_EXFIL
A0047,NO_EXFIL
A0048,EXFIL
A0049,EXFIL
A0050,EXFIL
A0051,EXFIL
A0052,NO_EXFIL
A0053,NO_EXFIL
A0054,EXFIL
A0055,NO_EXFIL
A0056,NO_EXFIL
A0057,NO_EXFIL
A0058,EXFIL
A0059,EXFIL
A0060,EXFIL
A0061,NO_EXFIL
A0062,EXFIL
A0063,EXFIL
A0064,NO_EXFIL
A0065,EXFIL
A0066,EXFIL
A0067,NO_EXFIL
A0068,EXFIL
A0069,EXFIL
A0070,NO_EXFIL
A0071,EXFIL
A0072,NO_EXFIL
A0073,NO_EXFIL
A0074,NO_EXFIL
A0075,EXFIL
A0076,EXFIL
A0077,EXFIL
A0078,EXFIL
A0079,EXFIL
A0080,EXFIL
A0081,EXFIL
A0082,EXFIL
A0083,EXFIL
A0084,EXFIL
A0085,EXFIL
A0086,EXFIL
A0087,EXFIL
A0088,NO_EXFIL
A0089,NO_EXFIL
A0090,NO_EXFIL
A0091,EXFIL
A0092,NO_EXFIL
A0093,EXFIL
A0094,NO_EXFIL
A0095,EXFIL
A0096,NO_EXFIL
A0097,NO_EXFIL
A0098,NO_EXFIL
A0099,EXFIL
A0100,NO_EXFIL
A0101,EXFIL
A0102,EXFIL
A0103,EXFIL
A0104,NO_EXFIL
A0105,EXFIL
A0106,EXFIL
A0107,EXFIL
A0108,NO_EXFIL
A0109,EXFIL
A0110,NO_EXFIL
A0111,NO_EXFIL
A0112,NO_EXFIL
A0113,EXFIL
A0114,EXFIL
A0115,EXFIL
A0116,EXFIL
A0117,NO_EXFIL
A0118,NO_EXFIL
A0119,NO_EXFIL
A0120,NO_EXFIL
A0121,NO_EXFIL
A0122,NO_EXFIL
A0123,EXFIL
A0124,NO_EXFIL
