sample_id,result
A0001,EXFIL
A0002,NO_EXFIL
A0003,EXFIL
A0004,EXFIL
A0005,EXFIL
A0006,EXFIL
A0007,EXFIL
A0008,EXFIL
A0009,EXFIL
A0010,EXFIL
A0011,NO_EXFIL
A0012,EXFIL
A0013,EXFIL
A0014,EXFIL
A0015,EXFIL
A0016,EXFIL
A0017,EXFIL
A0018,NO_EXFIL
A0019,EXFIL
A0020,EXFIL
A0021,EXFIL
A0022,EXFIL
A0023,EXFIL
A0024,EXFIL
A0025,EXFIL
A0026,NO_EXFIL
A0027,EXFIL
A0028,EXFIL
A0029,EXFIL
A0030,EXFIL
A0031,EXFIL
A0032,EXFIL
A0033,EXFIL
A0034,EXFIL
A0035,EXFIL
A0036,EXFIL
A0037,EXFIL
A0038,EXFIL
A0039,EXFIL
A0040,EXFIL
A0041,EXFIL
A0042,EXFIL
A0043,EXFIL
A0044,EXFIL
A0045,EXFIL
A0046,EXFIL
A0047,EXFIL
A0048,EXFIL
A0049,EXFIL
A0050,NO_EXFIL
A0051,EXFIL
A0052,EXFIL
A0053,EXFIL
A0054,EXFIL
A0055,EXFIL
A0056,EXFIL
A0057,NO_EXFIL
A0058,EXFIL
A0059,EXFIL
A0060,EXFIL
A0061,EXFIL
A0062,EXFIL
A0063,EXFIL
A0064,EXFIL
A0065,EXFIL
A0066,EXFIL
A0067,EXFIL
A0068,EXFIL
A0069,EXFIL
A0070,NO_EXFIL
A0071,EXFIL
A0072,EXFIL
A0073,NO_EXFIL
A0074,EXFIL
A0075,EXFIL
A0076,EXFIL
A0077,EXFIL
A0078,EXFIL
A0079,EXFIL
A0080,EXFIL
A0081,EXFIL
A0082,EXFIL
A0083,EXFIL
A0084,EXFIL
A0085,EXFIL
A0086,EXFIL
A0087,EXFIL
A0088,NO_EXFIL
A0089,EXFIL
A0090,EXFIL
A0091,EXFIL
A0092,EXFIL
A0093,EXFIL
A0094,EXFIL
A0095,NO_EXFIL
A0096,EXFIL
A0097,EXFIL
A0098,EXFIL
A0099,EXFIL
A0100,EXFIL
A0101,EXFIL
A0102,EXFIL
A0103,EXFIL
A0104,EXFIL
A0105,EXFIL
A0106,EXFIL
A0107,EXFIL
A0108,EXFIL
A0109,EXFIL
A0110,EXFIL
A0111,EXFIL
A0112,NO_EXFIL
A0113,EXFIL
A0114,EXFIL
A0115,EXFIL
A0116,EXFIL
A0117,EXFIL
A0118,EXFIL
A0119,NO_EXFIL
A0120,EXFIL
A0121,EXFIL
A0122,EXFIL
A0123,EXFIL
A0124,EXFIL
A0125,EXFIL
A0126,EXFIL
A0127,EXFIL
A0128,EXFIL
A0129,NO_EXFIL
A0130,EXFIL
A0131,EXFIL
A0132,EXFIL
A0133,EXFIL
A0134,EXFIL
A0135,EXFIL
A0136,EXFIL
A0137,EXFIL
A0138,EXFIL
A0139,EXFIL
A0140,NO_EXFIL
A0141,EXFIL
A0142,EXFIL
A0143,EXFIL
A0144,EXFIL
A0145,EXFIL
A0146,EXFIL
A0147,NO_EXFIL
A0148,EXFIL
A0149,EXFIL
A0150,NO_EXFIL
A0151,EXFIL
A0152,EXFIL
A0153,EXFIL
A0154,EXFIL
A0155,EXFIL
A0156,EXFIL
A0157,EXFIL
A0158,EXFIL
A0159,EXFIL
A0160,EXFIL
A0161,EXFIL
A0162,EXFIL
A0163,EXFIL
A0164,EXFIL
A0165,EXFIL
A0166,EXFIL
A0167,EXFIL
A0168,EXFIL
A0169,EXFIL
A0170,EXFIL
A0171,EXFIL
A0172,EXFIL
A0173,EXFIL
A0174,EXFIL
A0175,EXFIL
A0176,EXFIL
A0177,EXFIL
A0178,EXFIL
A0179,EXFIL
A0180,EXFIL
A0181,NO_EXFIL
A0182,EXFIL
A0183,EXFIL
A0184,EXFIL
A0185,NO_EXFIL
A0186,EXFIL
A0187,EXFIL
A0188,EXFIL
A0189,EXFIL
A0190,EXFIL
A0191,EXFIL
A0192,EXFIL
A0193,EXFIL
A0194,EXFIL
A0195,EXFIL
A0196,EXFIL
A0197,EXFIL
A0198,EXFIL
A0199,EXFIL
A0200,EXFIL
A0201,EXFIL
A0202,EXFIL
A0203,NO_EXFIL
A0204,EXFIL
A0205,EXFIL
A0206,EXFIL
A0207,EXFIL
A0208,EXFIL
A0209,EXFIL
A0210,EXFIL
A0211,EXFIL
A0212,EXFIL
A0213,EXFIL
A0214,NO_EXFIL
A0215,EXFIL
A0216,EXFIL
A0217,EXFIL
A0218,EXFIL
A0219,EXFIL
A0220,EXFIL
A0221,EXFIL
A0222,EXFIL
A0223,EXFIL
A0224,EXFIL
A0225,EXFIL
A0226,EXFIL
A0227,EXFIL
A0228,EXFIL
A0229,EXFIL
A0230,EXFIL
A0231,EXFIL
A0232,EXFIL
A0233,EXFIL
A0234,EXFIL
A0235,EXFIL
A0236,EXFIL
A0237,EXFIL
A0238,EXFIL
A0239,EXFIL
A0240,NO_EXFIL
A0241,EXFIL
A0242,EXFIL
A0243,NO_EXFIL
A0244,EXFIL
A0245,EXFIL
A0246,EXFIL
A0247,EXFIL
A0248,EXFIL
A0249,EXFIL
A0250,EXFIL
A0251,NO_EXFIL
A0252,EXFIL
A0253,EXFIL
A0254,EXFIL
A0255,NO_EXFIL
A0256,EXFIL
A0257,EXFIL
A0258,EXFIL
A0259,EXFIL
A0260,EXFIL
A0261,EXFIL
A0262,EXFIL
A0263,EXFIL
A0264,EXFIL
A0265,EXFIL
A0266,EXFIL
A0267,NO_EXFIL
A0268,EXFIL
A0269,EXFIL
A0270,EXFIL
A0271,EXFIL
A0272,EXFIL
A0273,EXFIL
A0274,EXFIL
A0275,EXFIL
A0276,EXFIL
A0277,EXFIL
A0278,EXFIL
A0279,EXFIL
A0280,EXFIL
A0281,NO_EXFIL
A0282,EXFIL
A0283,EXFIL
A0284,EXFIL
A0285,EXFIL
A0286,EXFIL
A0287,EXFIL
A0288,EXFIL
A0289,EXFIL
A0290,EXFIL
A0291,NO_EXFIL
A0292,EXFIL
A0293,EXFIL
